Recip_County,SVI_CTGY,Metro_status,Census2019
West Feliciana Parish,2,1,15568.0
Hunterdon,4,1,124371.0
Tioga,3,0,40591.0
Stephens,2,0,43143.0
Garza,2,0,6229.0
Wahkiakum,4,0,4488.0
Fall River,3,0,6713.0
Jersey,4,1,21773.0
Starr,1,0,64633.0
Tift,1,0,40644.0
Garvin,2,0,27711.0
Sunflower,1,0,25110.0
Parker,3,1,142878.0
Dimmit,1,0,10124.0
Payne,2,0,81784.0
Beauregard Parish,2,0,37497.0
Vigo,2,1,107038.0
Okmulgee,1,1,38465.0
Otter Tail,4,0,58746.0
Baraga,2,0,8209.0
Cameron,3,0,4447.0
Cedar,2,0,14349.0
Griggs,4,0,2231.0
Owsley,1,0,4415.0
Elmore,2,1,81209.0
Marengo,1,0,18863.0
Toa Alta Municipio,4,1,72025.0
Elkhart,1,1,206341.0
Virginia Beach city,4,1,449974.0
Strafford,4,1,130633.0
Wheeler,2,0,5056.0
Barnes,4,0,10415.0
Ada,4,1,481587.0
Trego,4,0,2803.0
Sandusky,3,0,58518.0
Dent,2,0,15573.0
Chaves,1,0,64615.0
Linn,2,1,129749.0
Ottawa,1,0,31127.0
Archer,4,1,8553.0
Gunnison,4,0,17462.0
Simpson,1,1,26658.0
Effingham,4,1,64296.0
Lipscomb,3,0,3233.0
Bedford,1,0,49713.0
Falls,1,1,17297.0
Lewis and Clark,4,0,69432.0
Orocovis Municipio,1,1,20220.0
Louisa,3,0,37591.0
Black Hawk,3,1,131228.0
Arecibo Municipio,3,1,81966.0
Caswell,1,0,22604.0
Moody,3,0,6576.0
Freeborn,3,0,30281.0
Scotland,1,0,34823.0
Roane,3,1,53382.0
Telfair,1,0,15860.0
Parke,2,0,16937.0
Owyhee,1,1,11823.0
Giles,2,0,29464.0
Billings,4,0,928.0
Kaufman,2,1,136154.0
McDonald,1,1,22837.0
Crow Wing,4,0,65055.0
Lajas Municipio,1,1,22010.0
Sullivan,2,0,6089.0
Pamlico,2,1,12726.0
St. Landry Parish,1,0,82124.0
Bryan,1,0,47995.0
Tallahatchie,1,0,13809.0
Winnebago,4,1,171907.0
Baker,2,0,16124.0
Milam,1,0,24823.0
Harris,4,1,35236.0
Mississippi,1,0,40651.0
Hillsdale,2,0,45605.0
Granite,4,0,3379.0
Fredericksburg city,2,1,29036.0
Doniphan,4,1,7600.0
Santa Rosa,3,1,184313.0
Dunn,4,0,4424.0
Chautauqua,2,0,126903.0
Harlan,1,0,26010.0
Teton,4,0,23464.0
Morehouse Parish,1,0,24874.0
Chambers,3,1,43837.0
Cortland,3,0,47581.0
Juana Diaz Municipio,3,1,44679.0
Darlington,1,1,66618.0
Hockley,1,0,23021.0
Natchitoches Parish,1,0,38158.0
Alexander,1,1,5761.0
Oglethorpe,2,1,15259.0
Burke,4,0,2115.0
Yellowstone,4,1,161300.0
Tazewell,4,1,131803.0
Petroleum,4,0,487.0
Southampton,3,0,17631.0
La Plata,4,0,56221.0
Prince George's,2,1,909327.0
Muskingum,2,0,86215.0
Northwest Arctic Borough,1,0,7621.0
Estill,1,0,14106.0
Teller,4,1,25388.0
Erath,2,0,42698.0
Dane,4,1,546695.0
Natrona,3,1,79858.0
Baltimore city,1,1,593490.0
Nicholas,1,0,7269.0
Vermilion Parish,1,1,59511.0
Indiana,2,0,84073.0
DuPage,4,1,922921.0
Somervell,2,1,9128.0
Sierra,1,0,10791.0
Pawnee,3,0,6414.0
Muscatine,3,0,42664.0
Belknap,4,0,61303.0
Loudoun,4,1,413538.0
Catawba,2,1,159551.0
Paulding,4,1,168667.0
Brevard,3,1,601942.0
Ward,4,0,67641.0
Parmer,1,0,9605.0
Dickey,4,0,4872.0
Woodford,4,1,26734.0
Milwaukee,1,1,945726.0
Piatt,4,1,16344.0
Foard,3,0,1155.0
Siskiyou,2,0,43539.0
Cloud,3,0,8786.0
Sac,4,0,9721.0
Itawamba,2,0,23390.0
Fauquier,4,1,71222.0
Colusa,2,0,21547.0
Kittitas,3,0,47935.0
Oldham,4,1,66799.0
LaGrange,3,0,39614.0
Wilson,1,0,81801.0
Cole,3,1,76745.0
Love,2,0,10253.0
Ozaukee,4,1,89221.0
Lexington city,3,0,7446.0
Harrisonburg city,1,1,53016.0
Kandiyohi,3,0,43199.0
Colonial Heights city,2,1,17370.0
Pearl River,2,0,55535.0
Lewis,3,0,9776.0
Blair,3,1,121829.0
Attala,1,0,18174.0
Winston,1,0,17955.0
Andrews,3,0,18705.0
Converse,4,0,13822.0
Grundy,2,0,9850.0
Iron,3,0,5687.0
Bay,2,1,174705.0
Juneau City and Borough,3,0,31974.0
Lauderdale,3,1,92729.0
Jewell,4,0,2879.0
Reynolds,2,0,6270.0
Rice,3,0,9537.0
Branch,2,0,43517.0
Hood,3,1,61643.0
Woodward,2,0,20211.0
Galveston,2,1,342139.0
Bexar,1,1,2003554.0
Santa Cruz,2,1,273213.0
Atlantic,1,1,263670.0
Luquillo Municipio,3,1,17665.0
Evangeline Parish,1,0,33395.0
St. Louis,3,1,994205.0
Flathead,4,0,103806.0
Thurston,3,1,290536.0
Cayey Municipio,3,1,42409.0
Terrebonne Parish,1,1,110461.0
Kidder,4,0,2480.0
Nye,2,0,46523.0
Canovanas Municipio,3,1,44674.0
Nez Perce,2,1,40408.0
Vance,1,0,44535.0
Decatur,2,0,7870.0
Vernon Parish,2,0,47429.0
Haines Borough,4,0,2530.0
Catahoula Parish,1,0,9494.0
Laclede,2,0,35723.0
Northumberland,2,0,90843.0
Red River,2,0,12023.0
Stark,3,1,370606.0
Richmond city,1,1,230436.0
Haakon,3,0,1899.0
Lamb,1,0,12893.0
Wasatch,4,0,34091.0
Albemarle,4,1,109330.0
Pickens,1,1,19930.0
Bossier Parish,2,1,127039.0
Muhlenberg,2,0,30622.0
Loudon,3,1,54068.0
Walworth,3,0,5435.0
Humacao Municipio,4,1,50653.0
Florida Municipio,4,1,11317.0
Larimer,4,1,356899.0
Oxford,3,0,57975.0
Pushmataha,1,0,11096.0
St. Helena Parish,1,1,10132.0
Williamsburg city,3,1,14954.0
St. Lucie,2,1,328297.0
Antrim,4,0,23324.0
Plaquemines Parish,2,1,23197.0
Cottle,1,0,1398.0
Gladwin,2,0,25449.0
Arapahoe,3,1,656590.0
Walla Walla,2,1,60760.0
Navajo,1,0,110924.0
Morton,3,0,2587.0
Gila,1,0,54018.0
Camas,4,0,1106.0
San Mateo,3,1,766573.0
Stanly,2,0,62806.0
Albany,3,1,305506.0
Wasco,1,0,26682.0
Madison Parish,1,0,10951.0
Harper,3,0,3688.0
McClain,4,1,40474.0
Crockett,1,1,14230.0
Pennington,3,1,113775.0
Uintah,3,0,35734.0
Craig,4,1,5131.0
Westmoreland,3,0,18015.0
Roseau,4,0,15165.0
Murray,2,1,40096.0
Meagher,4,0,1862.0
Hillsborough,4,1,417025.0
Bradford,3,0,60323.0
Rio Grande Municipio,2,1,48025.0
Wichita,1,1,132230.0
Rio Blanco,3,0,6324.0
Arroyo Municipio,1,1,17238.0
Davie,3,1,42846.0
Petersburg city,1,1,31346.0
Alger,3,0,9108.0
Kiowa,3,0,2475.0
Camp,1,0,13094.0
White Pine,3,0,9580.0
McLeod,4,0,35893.0
Spalding,1,1,66703.0
St. Francois,2,0,67215.0
Claiborne,2,0,31959.0
Waukesha,4,1,404198.0
Big Stone,4,0,4991.0
Hopkins,2,0,37084.0
Nolan,1,0,14714.0
Schenectady,3,1,155299.0
Musselshell,3,0,4633.0
Blue Earth,3,1,67653.0
Goshen,3,0,13211.0
Norfolk,4,1,706775.0
Bailey,1,0,7000.0
Botetourt,4,1,33419.0
Concordia Parish,1,0,19259.0
Luzerne,2,1,317417.0
Zapata,1,0,14179.0
Oklahoma,2,1,797434.0
Traverse,3,0,3259.0
Westchester,2,1,967506.0
Schuyler,3,0,17807.0
Cavalier,4,0,3762.0
Vinton,2,0,13085.0
Kanawha,2,1,178124.0
